preset,mode,freq_hz,level_dbu,amplitude,thd_percent,gain_db,h1_db,h2_db,h3_db,h4_db,h5_db,h6_db,h7_db,h8_db,h9_db,h10_db
JT115KE,Realtime,2.000000e+01,-2.000000e+01,1.000000e-02,1.062434e+00,-1.012599e-01,-4.008004e+01,-8.223505e+01,-8.536387e+01,-9.020763e+01,-9.658088e+01,-9.425307e+01,-9.396490e+01,-9.781103e+01,-1.009293e+02,-9.990000e+02
JT115KE,Realtime,2.000000e+01,-2.500000e+00,7.498942e-02,1.686969e+00,-5.465698e-01,-2.302741e+01,-6.500647e+01,-6.007801e+01,-7.320400e+01,-7.679518e+01,-7.731204e+01,-7.699259e+01,-8.086266e+01,-8.409753e+01,-9.990000e+02
JT115KE,Realtime,2.000000e+01,1.200000e+00,1.148154e-01,3.254884e+00,-1.045099e+00,-1.983091e+01,-6.160153e+01,-5.001648e+01,-7.010672e+01,-6.774153e+01,-7.420987e+01,-7.489017e+01,-7.776465e+01,-8.081518e+01,-9.990000e+02
JT115KE,Realtime,1.000000e+03,-2.000000e+01,1.000000e-02,2.934119e-02,-1.818056e-02,-4.001779e+01,-1.203433e+02,-1.127987e+02,-1.212900e+02,-1.237238e+02,-1.230310e+02,-1.249616e+02,-1.258263e+02,-1.281009e+02,-9.990000e+02
JT115KE,Realtime,1.000000e+03,4.000000e+00,1.584893e-01,5.610785e+00,-1.658646e+00,-1.767194e+01,-9.922242e+01,-4.275086e+01,-9.913428e+01,-6.144944e+01,-1.010217e+02,-7.853032e+01,-1.038189e+02,-9.611522e+01,-9.990000e+02
JT115KE,Physical,2.000000e+01,-2.000000e+01,9.970386e-02,1.150658e+00,-8.511081e-02,-2.014598e+01,-6.045001e+01,-6.660544e+01,-7.749995e+01,-7.259730e+01,-7.324011e+01,-8.010452e+01,-7.993845e+01,-7.697236e+01,-9.990000e+02
JT115KE,Physical,2.000000e+01,-2.500000e+00,7.476733e-01,1.145324e+00,-8.816595e-02,-2.649032e+00,-4.295382e+01,-4.933141e+01,-5.997141e+01,-5.528784e+01,-5.573207e+01,-6.223595e+01,-6.244752e+01,-5.937670e+01,-9.990000e+02
JT115KE,Physical,2.000000e+01,1.200000e+00,1.144753e+00,1.145082e+00,-8.822029e-02,1.050913e+00,-3.925432e+01,-4.564029e+01,-5.627815e+01,-5.159449e+01,-5.202966e+01,-5.851837e+01,-5.874316e+01,-5.567619e+01,-9.990000e+02
JT115KE,Physical,1.000000e+03,-2.000000e+01,9.970386e-02,2.083949e-02,-9.216762e-03,-2.003596e+01,-1.005464e+02,-1.002534e+02,-1.014563e+02,-1.023676e+02,-1.031974e+02,-1.057357e+02,-1.059502e+02,-1.072786e+02,-9.990000e+02
JT115KE,Physical,1.000000e+03,4.000000e+00,1.580200e+00,2.037255e-02,-1.114033e-02,3.963416e+00,-7.649521e+01,-7.764174e+01,-7.745569e+01,-7.830741e+01,-7.922645e+01,-8.056089e+01,-8.196015e+01,-8.406886e+01,-9.990000e+02
