preset,mode,freq_hz,level_dbu,amplitude,thd_percent,gain_db,h1_db,h2_db,h3_db,h4_db,h5_db,h6_db,h7_db,h8_db,h9_db,h10_db
JT115KE,Realtime,2.000000e+01,-2.000000e+01,1.000000e-02,1.062434e+00,-1.012599e-01,-4.008004e+01,-8.223505e+01,-8.536387e+01,-9.020763e+01,-9.658088e+01,-9.425307e+01,-9.396490e+01,-9.781103e+01,-1.009293e+02,-9.990000e+02
JT115KE,Realtime,2.000000e+01,-2.500000e+00,7.498942e-02,1.686969e+00,-5.465698e-01,-2.302741e+01,-6.500647e+01,-6.007801e+01,-7.320400e+01,-7.679518e+01,-7.731204e+01,-7.699259e+01,-8.086266e+01,-8.409753e+01,-9.990000e+02
JT115KE,Realtime,2.000000e+01,1.200000e+00,1.148154e-01,3.254884e+00,-1.045099e+00,-1.983091e+01,-6.160153e+01,-5.001648e+01,-7.010672e+01,-6.774153e+01,-7.420987e+01,-7.489017e+01,-7.776465e+01,-8.081518e+01,-9.990000e+02
JT115KE,Realtime,1.000000e+03,-2.000000e+01,1.000000e-02,2.934119e-02,-1.818056e-02,-4.001779e+01,-1.203433e+02,-1.127987e+02,-1.212900e+02,-1.237238e+02,-1.230310e+02,-1.249616e+02,-1.258263e+02,-1.281009e+02,-9.990000e+02
JT115KE,Realtime,1.000000e+03,4.000000e+00,1.584893e-01,5.610785e+00,-1.658646e+00,-1.767194e+01,-9.922242e+01,-4.275086e+01,-9.913428e+01,-6.144944e+01,-1.010217e+02,-7.853032e+01,-1.038189e+02,-9.611522e+01,-9.990000e+02
JT115KE,Physical,2.000000e+01,-2.000000e+01,9.970386e-02,1.150635e+00,-8.511239e-02,-2.014598e+01,-6.045018e+01,-6.660578e+01,-7.750029e+01,-7.259840e+01,-7.323998e+01,-8.010164e+01,-7.993866e+01,-7.697094e+01,-9.990000e+02
JT115KE,Physical,2.000000e+01,-2.500000e+00,7.476733e-01,1.145320e+00,-8.816546e-02,-2.649032e+00,-4.295384e+01,-4.933154e+01,-5.997172e+01,-5.528792e+01,-5.573203e+01,-6.223499e+01,-6.244752e+01,-5.937658e+01,-9.990000e+02
JT115KE,Physical,2.000000e+01,1.200000e+00,1.144753e+00,1.145077e+00,-8.822108e-02,1.050913e+00,-3.925438e+01,-4.564039e+01,-5.627828e+01,-5.159412e+01,-5.202940e+01,-5.851804e+01,-5.874362e+01,-5.567600e+01,-9.990000e+02
JT115KE,Physical,1.000000e+03,-2.000000e+01,9.970386e-02,2.121144e-02,-9.218970e-03,-2.003596e+01,-1.005464e+02,-9.982475e+01,-1.014562e+02,-1.021363e+02,-1.031974e+02,-1.054209e+02,-1.059500e+02,-1.071539e+02,-9.990000e+02
JT115KE,Physical,1.000000e+03,4.000000e+00,1.580200e+00,2.045148e-02,-1.114155e-02,3.963414e+00,-7.649530e+01,-7.741823e+01,-7.745552e+01,-7.839659e+01,-7.922635e+01,-8.047688e+01,-8.196020e+01,-8.404489e+01,-9.990000e+02
